57767	0.06	0.40636	2.3115	2.3115
57766	0.06	0.40609	2.597	2.597
57765	0.06	0.40571	2.8832	2.8832
57764	0.06	0.40522	3.1696	3.1696
57763	0.06	0.40464	3.4558	3.4558
57762	0.06	0.40398	3.7409	3.7409
57761	0.06	0.40328	4.0293	4.0293
57760	0.06	0.40254	4.3145	4.3145
57759	0.06	0.40182	4.6015	4.6015
57758	0.06	0.40112	4.8896	4.8896
57757	0.06	0.40048	5.1762	5.1762
57756	0.06	0.39994	5.4642	5.4642
57755	0.06	0.3995	5.7516	5.7516
57754	0.06	0.3992	6.0403	6.0403
57753	0.06	0.39905	0.045008	0.045008
57752	0.06	0.39906	0.33186	0.33186
57751	0.06	0.39924	0.62089	0.62089
57750	0.06	0.39959	0.90799	0.90799
57749	0.06	0.4001	1.1935	1.1935
57748	0.06	0.40076	1.4823	1.4823
57747	0.06	0.40154	1.767	1.767
57746	0.06	0.40243	2.0531	2.0531
57745	0.06	0.40339	2.3389	2.3389
57744	0.06	0.40439	2.6237	2.6237
57743	0.06	0.4054	2.9082	2.9082
57742	0.06	0.40639	3.1923	3.1923
57741	0.06	0.40732	3.4756	3.4756
57740	0.06	0.40816	3.7602	3.7602
57739	0.06	0.4089	4.0414	4.0414
57738	0.06	0.4095	4.3256	4.3256
57737	0.06	0.40994	4.6088	4.6088
57736	0.06	0.41023	4.8903	4.8903
57735	0.06	0.41034	5.1746	5.1746
57734	0.06	0.41028	5.4576	5.4576
57733	0.06	0.41005	5.7411	5.7411
57732	0.06	0.40967	6.0248	6.0248
57731	0.06	0.40914	0.026404	0.026404
57730	0.06	0.40849	0.31119	0.31119
57729	0.06	0.40775	0.59623	0.59623
57728	0.06	0.40693	0.88196	0.88196
57727	0.06	0.40607	1.1692	1.1692
57726	0.06	0.40519	1.4555	1.4555
57725	0.06	0.40431	1.7425	1.7425
57724	0.06	0.40347	2.0322	2.0322
57723	0.06	0.40268	2.319	2.319
57722	0.06	0.40195	2.6085	2.6085
57721	0.06	0.40132	2.8978	2.8978
57720	0.06	0.40078	3.1871	3.1871
57719	0.06	0.40035	3.4762	3.4762
57718	0.06	0.40003	3.7657	3.7657
57717	0.06	0.39981	4.0552	4.0552
57716	0.06	0.3997	4.3443	4.3443
57715	0.06	0.39969	4.6318	4.6318
57714	0.06	0.39977	4.9214	4.9214
57713	0.06	0.39992	5.2084	5.2084
57712	0.06	0.40014	5.4948	5.4948
57711	0.06	0.40041	5.7825	5.7825
57710	0.06	0.40072	6.067	6.067
57709	0.06	0.40106	0.068988	0.068988
57708	0.06	0.40142	0.35231	0.35231
57707	0.06	0.40179	0.63548	0.63548
57706	0.06	0.40217	0.91735	0.91735
57705	0.06	0.40254	1.1968	1.1968
57704	0.06	0.40292	1.4775	1.4775
57703	0.06	0.40329	1.7562	1.7562
57702	0.06	0.40366	2.0312	2.0312
57701	0.06	0.40404	2.31	2.31
57700	0.06	0.40442	2.5832	2.5832
57699	0.06	0.40481	2.8571	2.8571
57698	0.06	0.40519	3.1298	3.1298
57697	0.06	0.40558	3.4011	3.4011
57696	0.06	0.40598	3.671	3.671
57695	0.06	0.40636	3.94	3.94
57694	0.06	0.40674	4.2078	4.2078
57693	0.06	0.40709	4.4752	4.4752
57692	0.06	0.40742	4.7398	4.7398
57691	0.06	0.40771	5.0048	5.0048
57690	0.06	0.40795	5.27	5.27
57689	0.06	0.40814	5.5309	5.5309
57688	0.06	0.40825	5.795	5.795
57687	0.06	0.40827	6.0575	6.0575
57686	0.06	0.40821	0.035299	0.035299
57685	0.06	0.40806	0.2983	0.2983
57684	0.06	0.4078	0.56088	0.56088
57683	0.06	0.40745	0.8236	0.8236
57682	0.06	0.407	1.0872	1.0872
57681	0.06	0.40647	1.3515	1.3515
57680	0.06	0.40586	1.6174	1.6174
57679	0.06	0.4052	1.8838	1.8838
57678	0.06	0.40449	2.1501	2.1501
57677	0.06	0.40376	2.4222	2.4222
57676	0.06	0.40304	2.6899	2.6899
57675	0.06	0.40235	2.9629	2.9629
57674	0.06	0.4017	3.2375	3.2375
57673	0.06	0.40113	3.5112	3.5112
57672	0.06	0.40065	3.7878	3.7878
57671	0.06	0.40028	4.0661	4.0661
57670	0.06	0.40004	4.3442	4.3442
57669	0.06	0.39994	4.6248	4.6248
57668	0.06	0.39997	4.9045	4.9045
57667	0.06	0.40014	5.1875	5.1875
57666	0.06	0.40043	5.469	5.469
57665	0.06	0.40084	5.7509	5.7509
57664	0.06	0.40134	6.0351	6.0351
57663	0.06	0.40192	0.034443	0.034443
57662	0.06	0.40255	0.31704	0.31704
57661	0.06	0.4032	0.60132	0.60132
57660	0.06	0.40385	0.88422	0.88422
57659	0.06	0.40446	1.1671	1.1671
57658	0.06	0.40502	1.4509	1.4509
57657	0.06	0.40549	1.7338	1.7338
57656	0.06	0.40587	2.0179	2.0179
57655	0.06	0.40614	2.2995	2.2995
57654	0.06	0.40629	2.5844	2.5844
57653	0.06	0.40631	2.8673	2.8673
57652	0.06	0.40622	3.1498	3.1498
57651	0.06	0.40601	3.4344	3.4344
57650	0.06	0.40571	3.718	3.718
57649	0.06	0.40532	4.0013	4.0013
57648	0.06	0.40488	4.286	4.286
57647	0.06	0.4044	4.5707	4.5707
57646	0.06	0.40392	4.8552	4.8552
57645	0.06	0.40346	5.1404	5.1404
57644	0.06	0.40304	5.4254	5.4254
57643	0.06	0.4027	5.712	5.712
57642	0.06	0.40245	5.9959	5.9959
57641	0.06	0.40232	6.2825	6.2825
57640	0.06	0.4023	0.28533	0.28533
57639	0.06	0.40242	0.56944	0.56944
57638	0.06	0.40266	0.85587	0.85587
57637	0.06	0.40302	1.1406	1.1406
57636	0.06	0.40348	1.4255	1.4255
57635	0.06	0.40404	1.7099	1.7099
57634	0.06	0.40466	1.9945	1.9945
57633	0.06	0.40533	2.2784	2.2784
57632	0.06	0.406	2.5623	2.5623
57631	0.06	0.40665	2.8447	2.8447
57630	0.06	0.40725	3.1297	3.1297
57629	0.06	0.40776	3.4112	3.4112
57628	0.06	0.40817	3.6941	3.6941
57627	0.06	0.40845	3.9784	3.9784
57626	0.06	0.40859	4.2603	4.2603
57625	0.06	0.40857	4.5435	4.5435
57624	0.06	0.40839	4.8287	4.8287
57623	0.06	0.40805	5.1113	5.1113
57622	0.06	0.40756	5.397	5.397
57621	0.06	0.40694	5.6812	5.6812
57620	0.06	0.40619	5.9678	5.9678
57619	0.06	0.40535	6.2544	6.2544
57618	0.06	0.40445	0.25692	0.25692
57617	0.06	0.40352	0.54687	0.54687
57616	0.06	0.40258	0.83476	0.83476
57615	0.06	0.40168	1.1241	1.1241
57614	0.06	0.40084	1.4158	1.4158
57613	0.06	0.4001	1.7068	1.7068
57612	0.06	0.39948	1.9987	1.9987
57611	0.06	0.39899	2.2923	2.2923
57610	0.06	0.39866	2.5853	2.5853
57609	0.06	0.39849	2.88	2.88
57608	0.06	0.39848	3.1729	3.1729
57607	0.06	0.39863	3.4684	3.4684
57606	0.06	0.39894	3.7631	3.7631
57605	0.06	0.39938	4.0559	4.0559
57604	0.06	0.39995	4.3519	4.3519
57603	0.06	0.40061	4.6452	4.6452
57602	0.06	0.40134	4.9386	4.9386
57601	0.06	0.40212	5.2314	5.2314
57600	0.06	0.40292	5.5246	5.5246
57599	0.06	0.40371	5.8162	5.8162
57598	0.06	0.40448	6.1071	6.1071
57597	0.06	0.4052	0.11499	0.11499
57596	0.06	0.40586	0.40542	0.40542
57595	0.06	0.40644	0.69383	0.69383
57594	0.06	0.40694	0.9825	0.9825
57593	0.06	0.40735	1.2721	1.2721
57592	0.06	0.40767	1.5568	1.5568
57591	0.06	0.40791	1.8447	1.8447
57590	0.06	0.40806	2.1301	2.1301
57589	0.06	0.40814	2.4142	2.4142
57588	0.06	0.40815	2.6982	2.6982
57587	0.06	0.40811	2.981	2.981
57586	0.06	0.40802	3.2628	3.2628
57585	0.06	0.4079	3.5443	3.5443
57584	0.06	0.40774	3.8213	3.8213
57583	0.06	0.40756	4.1028	4.1028
57582	0.06	0.40736	4.3766	4.3766
57581	0.06	0.40714	4.6506	4.6506
57580	0.06	0.40689	4.9255	4.9255
57579	0.06	0.40663	5.1942	5.1942
57578	0.06	0.40634	5.4618	5.4618
57577	0.06	0.40602	5.73	5.73
57576	0.06	0.40567	5.9915	5.9915
57575	0.06	0.40528	6.2544	6.2544
57574	0.06	0.40484	0.22945	0.22945
57573	0.06	0.40437	0.48705	0.48705
57572	0.06	0.40386	0.7434	0.7434
57571	0.06	0.4033	0.99233	0.99233
57570	0.06	0.40272	1.2486	1.2486
57569	0.06	0.40212	1.4967	1.4967
57568	0.06	0.40151	1.7444	1.7444
57567	0.06	0.40091	1.9962	1.9962
57566	0.06	0.40034	2.2443	2.2443
57565	0.06	0.39981	2.492	2.492
57564	0.06	0.39936	2.7453	2.7453
57563	0.06	0.399	2.9961	2.9961
57562	0.06	0.39874	3.2491	3.2491
57561	0.06	0.39862	3.506	3.506
57560	0.06	0.39863	3.7623	3.7623
57559	0.06	0.39878	4.0244	4.0244
57558	0.06	0.3991	4.2828	4.2828
57557	0.06	0.39956	4.5495	4.5495
57556	0.06	0.40018	4.8155	4.8155
57555	0.06	0.40092	5.081	5.081
57554	0.06	0.40178	5.3513	5.3513
57553	0.06	0.40273	5.6246	5.6246
57552	0.06	0.40375	5.8925	5.8925
57551	0.06	0.40479	6.1686	6.1686
57550	0.06	0.40583	0.15983	0.15983
57549	0.06	0.40683	0.43359	0.43359
57548	0.06	0.40775	0.71038	0.71038
57547	0.06	0.40858	0.98639	0.98639
57546	0.06	0.40927	1.2654	1.2654
57545	0.06	0.4098	1.5409	1.5409
57544	0.06	0.41015	1.8206	1.8206
57543	0.06	0.41032	2.1018	2.1018
57542	0.06	0.41029	2.3791	2.3791
57541	0.06	0.41006	2.6607	2.6607
57540	0.06	0.40965	2.9439	2.9439
57539	0.06	0.40907	3.2232	3.2232
57538	0.06	0.40835	3.508	3.508
57537	0.06	0.40749	3.7898	3.7898
57536	0.06	0.40654	4.0762	4.0762
57535	0.06	0.40554	4.3589	4.3589
57534	0.06	0.40452	4.645	4.645
57533	0.06	0.40351	4.9321	4.9321
57532	0.06	0.40256	5.2181	5.2181
57531	0.06	0.4017	5.5028	5.5028
57530	0.06	0.40097	5.7938	5.7938
57529	0.06	0.40038	6.0788	6.0788
